price,likes,tips,photos,ratingSignals,rating,Restaurant_Class
1,18.0,5,11,26.0,7.3,1
1,19.0,5,14,21.0,8.5,1
1,0.0,0,14,3.0,6.2,1
1,2.0,2,4,3.0,6.9,1
1,4.0,1,7,4.0,7.4,1
1,0.0,1,1,0.0,6.7,1
1,1.0,0,0,1.0,7.2,1
2,66.0,27,404,82.0,8.4,1
1,19.0,1,2,27.0,7.4,1
1,24.0,2,5,36.0,6.2,1
1,58.0,10,610,64.0,9.2,1
2,8.0,2,48,9.0,8.0,1
1,4.0,0,13,4.0,8.0,1
1,76.0,20,18,98.0,7.4,1
2,7.0,0,3,13.0,5.9,1
1,8.0,1,11,12.0,7.0,1
2,9.0,2,4,17.0,5.9,1
1,14.0,2,87,16.0,8.5,1
2,65.0,11,20,77.0,8.2,1
1,43.0,1,28,45.0,9.2,1
2,16.0,1,3,25.0,6.6,1
1,17.0,5,9,18.0,8.6,1
2,28.0,12,24,39.0,7.4,1
1,22.0,6,9,35.0,6.7,1
1,147.0,17,1191,165.0,9.3,1
3,6.0,1,5,8.0,7.1,1
1,43.0,16,73,56.0,9.0,1
1,5.0,1,6,8.0,7.3,1
1,53.0,1,52,74.0,7.6,1
1,11.0,1,74,15.0,7.4,1
1,52.0,10,27,74.0,7.7,1
2,17.0,2,19,28.0,6.6,1
2,7.0,0,9,9.0,7.5,1
2,15.0,5,13,22.0,7.3,1
1,0.0,0,0,0.0,7.3,1
1,4.0,0,1,11.0,5.2,1
1,6.0,3,4,11.0,6.2,1
1,70.0,17,36,94.0,8.0,1
1,0.0,0,2,0.0,6.6,1
2,7.0,1,3,8.0,7.4,1
1,6.0,5,14,10.0,6.1,1
1,9.0,1,19,10.0,8.0,1
1,88.0,14,390,97.0,9.3,1
1,8.0,0,7,11.0,7.0,1
1,12.0,1,15,20.0,6.1,1
1,4.0,3,19,10.0,6.8,1
1,8.0,4,12,13.0,6.9,1
1,2.0,1,1,3.0,6.3,1
1,24.0,6,83,32.0,8.1,1
1,39.0,4,30,49.0,7.9,1
1,9.0,4,74,10.0,8.0,1
1,19.0,1,3,22.0,8.0,1
1,5.0,1,2,7.0,7.3,1
2,14.0,3,47,19.0,7.5,1
1,44.0,4,53,74.0,6.7,1
2,13.0,4,17,14.0,8.5,1
1,79.0,20,343,98.0,8.2,1
1,32.0,8,159,43.0,7.7,1
1,26.0,5,87,28.0,8.8,1
1,18.0,3,32,22.0,8.0,1
1,5.0,1,2,10.0,6.1,1
2,23.0,10,26,33.0,7.0,1
1,24.0,1,17,35.0,7.1,1
1,5.0,3,11,9.0,7.2,1
1,0.0,0,2,0.0,7.3,1
1,548.0,29,845,665.0,8.8,1
2,22.0,9,11,28.0,7.7,1
1,10.0,2,9,13.0,7.3,1
1,14.0,1,20,15.0,8.3,1
1,5.0,2,1,10.0,5.6,1
2,5.0,4,10,11.0,5.4,1
